sitrep_no,page,line_no,line_text
36,9,52,"utilisation des cadres COUSP opérationnelle et tous les niveaux, opérationnaliser les COUSP"
36,9,53,décisions retardées
36,9,55,9
36,10,1,"11 Insuffisance des ressources Limitation de la mise en Mobilisation urgente des ressources,"
36,10,2,financières (gap 20 millions USD) œuvre de tous les piliers plaidoyer auprès des partenaires
36,10,3,de la riposte
36,10,4,12 Insécurité et accès limité Restriction des Renforcement de la coordination sécuritaire et
36,10,5,"(CODECO, ADF) opérations, accès limité accès humanitaire"
36,10,6,aux zones à haut risque
36,10,7,13 Continuité des services Augmentation de la Mise en œuvre effective de la gratuité des
36,10,8,"essentiels (CEHS) compromise mortalité indirecte (non soins, renforcement CEHS"
36,10,9,Ebola)
36,10,10,14 Forte mobilité des populations Risque élevé Renforcer la surveillance aux PoE/PoC et
36,10,11,d’expansion coordination transfrontalière
36,10,12,géographique rapide
36,10,16,"Installation d’un laboratoire mobile dans la zone de santé d’Aru, province de l’Ituri."
36,10,21,10
36,11,1,Pour l’Institut National de la Santé Publique (INSP) de la RDC
36,11,2,Le Directeur Général de l’INSP
36,11,3,Dr MWAMBA KAZADI Dieudonné
36,11,5,E-mail : dieudonne.mwamba@insp.cd
36,11,6,POUR TOUTE
36,11,7,INFORMATION Tel. : +243 816 040 145
36,11,8,"SUPPLÉMENTAIRE,"
36,11,9,VEUILLEZ CONTACTER Le Coordonnateur COU-SP
36,11,10,Prof NGANDU Christian
36,11,12,E-mail : Christian.ngandu@insp.cd
36,11,13,Tél. : +243998091915
36,11,14,L’Incident Manager
36,11,15,Prof Pierre AKILIMALI
36,11,17,E-mail : pierre.akilimali@insp.cd
36,11,18,Tél. : +243815800288
36,11,23,Avec l’appui technique de l’Organisation Mondiale de la Santé (OMS) et
36,11,24,de Africa CDC
36,11,29,11
35,1,1,Centre d’Opérations d’Urgence de Santé Publique
35,1,2,« COUSP RDC »
35,1,3,Système de Gestion de l’Incident MVE-17
35,1,5,² Rapport de Situation de la 17 ème Epidémie de la Maladie à Virus EBOLA /RDC
35,1,6,SitRep N°35/MVB_18/06/2026
35,1,8,"Provinces touchées (3) ITURI, NORD-KIVU & SUD-KIVU"
35,1,9,"• Ituri (22/36) : Aru, Aungba, Bambu, Bunia, Damas, Drodro, Gety, Kilo, Komanda, Lita,"
35,1,10,"Logo, Mambasa, Mangala, Mongbwalu, Nizi, Nyankunde, Rimba, Rwampara, Tchomia,"
35,1,11,"Zones de Santé touchées Kambala, Nia-Nia et Fataki."
35,1,12,"(34) • Nord-Kivu (11/34) : Beni, Butembo, Goma, Kalunguta, Katwa, Kyondo, Oicha,"
35,1,13,"Masereka, Vuhovi, Mabalako et Musienene."
35,1,14,• Sud-Kivu (1/34) : Miti-Murhesa
35,1,15,Date de rapportage 18 juin 2026
35,1,16,Date de publication 19 juin 2026
35,1,21,"933* 245(26,3%) 416(94,3%) 80 238(54 décès) ** 72,3%"
35,1,23,Cumul cas confirmés Cumul décès parmi Patients en Cas suspects du Taux de suivi des
35,1,24,isolement - Nombre cumulé
35,1,25,pour les 3 provinces les confirmés et taux jour contacts pour les
35,1,26,hospitalisation des guéris
35,1,27,de létalité 3 provinces
35,1,28,"* Données réactualisées à la suite du processus de nettoyage et d’harmonisation de la base DHIS2, **Les décès suspects survenus en communauté font l’objet d’une investigation"
35,1,29,"incluant la consolidation des informations issues des zones de santé, des laboratoires et des structures de approfondie en vue d’une éventuelle reclassification (Non-cas, cas probables)."
35,1,30,prise en charge des cas.
35,1,31,continuharmonisation t consolidations.
35,1,33,1. FAITS SAILLANTS
35,1,35,"• Trente-six (36) nouveaux cas confirmés incluant 12 décès, ont été rapportés dans les provinces de"
35,1,36,l’Ituri (35 dont 12 décès) et Nord-Kivu (1) en date du 18 juin 2026. Ces cas confirmés sont répartis dans
35,1,37,"les zones de santé de Mongbwalu (9), Nyankunde (9), Bunia (6), Rwampara (4), Mangala (2), Aungba"
35,1,38,"(2), Lita (2), et Nizi (1) dans la province d’Ituri ainsi que celles de Beni (1) dans la province du Nord-Kivu."
35,1,39,• Deux (2) patients atteints de la maladie à virus Ebola ont été déclarés guéris après avoir obtenu des
35,1,40,tests de contrôles négatifs.
35,1,41,• Arrivée de 3 ministres du niveau national pour évaluer les actions de riposte à la MVE.
35,1,42,2. CONTEXTE ÉPIDÉMIOLOGIQUE ET OPÉRATIONNEL
35,1,44,"La province de l'Ituri, située au Nord-Est de la République Démocratique du Congo, partage une frontière"
35,1,45,"longue et poreuse avec l'Ouganda et le Soudan du Sud. Depuis plus de deux décennies, elle est confrontée"
35,1,46,à une crise humanitaire chronique liée aux conflits armés et aux déplacements récurrents de populations. Sa
35,1,47,"population est estimée à plus de 8 millions d'habitants, dont plus d'un million de déplacés internes. La zone"
35,1,48,"de santé de Mongbwalu, considérée comme le point de départ de l'épidémie, est située dans le territoire de"
35,1,49,"Djugu à 70 km de Bunia. Cette zone se caractérise par la présence de groupes armés, des mouvements"
35,1,50,"fréquents de population vers l'Ouganda, et de nombreux chantiers miniers artisanaux attirant des travailleurs"
35,1,51,"migrants. En septembre 2018, la province de l'Ituri avait déjà été touchée par la 10ème épidémie de MVE qui"
35,1,52,"sévissait alors au Nord-Kivu. L'épidémie actuelle, due au Bundibugyo ebolavirus, a été déclarée officiellement"
35,1,53,le 15 mai 2026 par le ministre de la Santé Publique. Les trois provinces touchées comptent une population
35,2,1,"totale estimée à près de 15 millions d'habitants, avec des déplacements internes massifs et des flux"
35,2,2,transfrontaliers vers les pays voisins.
35,2,7,Figure 1. Chronologie des faits de l’épidémie de la maladie à virus Ebola-Bundibugyo.
35,2,9,3. ANALYSE ÉPIDÉMIOLOGIQUE DÉTAILLÉE
35,2,11,3.1 Distribution spatiale et foyers actifs au 18 juin 2026
35,2,12,Tableau 1. Répartition des cas et décès confirmés par province touchée en date du 18 juin 2026.
35,2,13,Nouveaux
35,2,14,Cas Décès Zones de santé cas
35,2,15,Province Létalité
35,2,16,confirmés (confirmés) touchées confirmés
35,2,17,(24h)
35,2,18,"Ituri 853 199 23,3% 22 sur 36 (61,1 %) 35"
35,2,19,"Nord-Kivu 77 45 58,4% 11 sur 34 (32,3 %) 1"
35,2,20,"Sud-Kivu 3 1 33,3% 1 sur 34 (2,9 %) 0"
35,2,21,"Total 933 245 26,3% 34 sur 104 (32,7 %) 36"
35,2,23,"Au décours de la journée du 18 juin 2026, aucune nouvelle zone de santé touchée. Le nombre des zones de"
35,2,24,"santé affectées demeure à 34/104 (section 3.1). D’autre part, la province du Sud-Kivu n’a pas notifié de cas"
35,2,25,"confirmé depuis le 26 mai 2026 (Tableau 1). Absence de transmission récente au Sud-Kivu, mais la vigilance"
35,2,26,reste de mise.
35,2,28,3.2 Répartition par zone de santé (Cumul au 18/06/2026)
35,2,30,"• Province de l'Ituri (853 cas) : Bunia (253), Rwampara (199), Mongbwalu (198), Nyankunde (77), Nizi"
35,2,31,"(26), Lita (20), Komanda (10), Bambu (9), Kilo (7), Mangala (7), Tchomia (5), Damas (4), Aungba (6),"
35,2,32,"Rimba (3), Aru (3), Mambasa (2), Logo (2), Drodro (1), Gety (1), Kambala (1), Nia-Nia (1) et Fataki (1)."
35,2,33,Dix-sept (17) cas supplémentaires sont en attente de ventilation précise par zone de santé dans la
35,2,34,province.
35,2,35,"• Province du Nord-Kivu (77 cas) : Butembo (25), Katwa (24), Beni (16), Oicha (3), Kalunguta (2), Kyondo"
35,2,36,"(2), Goma (1), Masereka (1), Vuhovi (1), Mabalako (1) et Musienene (1)."
35,2,37,• Province du Sud-Kivu (3 cas) : Miti-Murhesa (3).
35,2,38,2
35,3,1,"3.3 Analyse temporelle : On observe un nombre croissant de cas confirmés d’une semaine à l’autre,"
35,3,2,traduisant une transmission continue de la maladie dans la communauté. Une expansion géographique rapide
35,3,3,de l’épidémie demeure possible si les actions de santé publique ne sont pas mises en œuvre rapidement.
35,3,8,3.4 Cartographie épidémique
35,3,13,Figures 2 & 3. Spatialisation des cas confirmés de la MVE par zones de santé affectées et dans les
35,3,14,trois provinces touchées en date du 18 juin 2026
35,3,19,3
35,4,1,Tableau 2. Cas confirmés et décès par province et zone de santé (18 juin 2026)
35,4,3,Décès
35,4,4,"Cas confirmés Létalité (CFR,"
35,4,5,Province / Zone de santé confirmés
35,4,6,cumulés (n) %)
35,4,7,cumulés (n)
35,4,8,"ITURI 853 199 23,3%"
35,4,9,"Bunia 253 42 16,6%"
35,4,10,"Rwampara 199 35 17,6%"
35,4,11,"Mongbwalu 198 87 43,9%"
35,4,12,"Nyankunde 77 7 9,1%"
35,4,13,"Nizi 26 5 19,2%"
35,4,14,"Lita 20 6 30,0%"
35,4,15,"Komanda 10 3 30,0%"
35,4,16,"Bambu 9 2 22,2%"
35,4,17,"Kilo 7 1 14,3%"
35,4,18,"Mangala 7 4 57,1%"
35,4,19,"Tchomia 5 0 0,0%"
35,4,20,"Damas 4 0 0,0%"
35,4,21,"Aungba 6 2 33,3%"
35,4,22,"Rimba 3 0 0,0%"
35,4,23,"Aru 3 1 33,3%"
35,4,24,"Mambasa 2 1 50,0%"
35,4,25,"Logo 2 0 0,0%"
35,4,26,"Drodro 1 1 100,0%"
35,4,27,"Gety 1 0 0,0%"
35,4,28,"Kambala 1 1 100,0%"
35,4,29,"Nia-Nia 1 1 100,0%"
35,4,30,"Fataki 1 0 0,0%"
35,4,31,"Autres zones non encore identifiées 17 0 0,0%"
35,4,32,"NORD-KIVU 77 45 58,4%"
35,4,33,"Butembo 25 11 44,0%"
35,4,34,"Katwa 24 16 66,7%"
35,4,35,"Beni 16 12 75,0%"
35,4,36,"Oicha 3 2 66,7%"
35,4,37,"Kalunguta 2 1 50,0%"
35,4,38,"Kyondo 2 1 50,0%"
35,4,39,"Goma 1 0 0,0%"
35,4,40,"Masereka 1 0 0,0%"
35,4,41,"Vuhovi 1 1 100,0%"
35,4,42,"Mabalako 1 0 0,0%"
35,4,43,"Musienene 1 1 100,0%"
35,4,44,"SUD-KIVU 3 1 33,3%"
35,4,45,"Miti-Murhesa 3 1 33,3%"
35,4,46,"TOTAL 933 245 26,3%"
35,4,47,"En date 19 juin 2026 (données rapportées au 18 juin 2026), la situation épidémiologique de la 17ème"
35,4,48,épidémie de Maladie à Virus Ebola (MVE) en République Démocratique du Congo atteint un cumul de 933
35,4,49,"cas confirmés et 245 décès, exprimant un taux de létalité global de 26,3%."
35,4,50,4
35,5,1,Dynamique provinciale et concentration des cas
35,5,2,"La province de l'Ituri demeure l'épicentre absolu de l'épidémie, concentrant 91,4% des cas (n=853) et 81,2%"
35,5,3,"des décès (n=199), soit une létalité de 23,3%. Les zones de santé les plus affectées sont Bunia (253 cas),"
35,5,4,Rwampara (199 cas) et Mongbwalu (198 cas) et englobent ¾ des cas rapportés (n=650) dans la province. Les
35,5,5,"ZS de Bunia et Rwampara présentent des taux de létalité modérés (16,6% et 17,6% respectivement), la zone"
35,5,6,"de Mongbwalu affiche une sévérité marquée avec un taux de 43,9% (87 décès pour 198 cas), suggérant des"
35,5,7,"défis persistants dans la prise en charge précoce ou l'accès aux soins. Par ailleurs, 17 cas supplémentaires"
35,5,8,"ont été signalés dans des zones de santé non encore identifiées, sans décès associé, ce qui pourrait indiquer"
35,5,9,une extension géographique nécessitant une investigation renforcée.
35,5,10,Sévérité de l'épidémie au Nord-Kivu
35,5,11,La province du Nord-Kivu présente le profil le plus préoccupant en termes de gravité. Avec 77 cas confirmés
35,5,12,"et 45 décès, le taux de létalité provincial atteint 58,4%, soit plus du double de la moyenne nationale. Cette"
35,5,13,"létalité élevée est portée par les zones de santé de Beni (75,0%), Katwa (66,7%) et Oicha (66,7%). La zone"
35,5,14,"de santé de Butembo, bien que cumulant plus de cas (n=25), présente une létalité légèrement inférieure"
35,5,15,"(44,0%). La présence de cas avec une létalité de 100% dans les zones à faible effectif (Vuhovi, Musienene)"
35,5,16,est un indicateur de la dangerosité du virus dans cette région et de la nécessité d'une riposte clinique
35,5,17,immédiate.
35,5,18,4. ACTIONS DE RIPOSTE PAR PILIER
35,5,19,4.1 Coordination
35,5,21,National / Ituri :
35,5,22,"• Arrivée de 3 ministres nationaux dont celui en charge de la santé publique, hygiène et prévention, des"
35,5,23,affaires humanitaires et Actions sociales ainsi que celui de la communication pour évaluer les actions de
35,5,24,"la riposte dans la province de l’Ituri, un mois après la déclaration officielle de l’épidémie."
35,5,25,• Tenue de la réunion de coordination sur le suivi des activités menées sur terrain par les partenaires
35,5,26,techniques et financiers à travers les piliers de la réponse.
35,5,27,• Tenue d’une séance de travail avec le nouveau gouverneur militaire de la province de l’Ituri.
35,5,29,4.2 Surveillance épidémiologique
35,5,30,Tableau 3. Gestion des alertes épidémiologiques (24h) au 18 juin 2026
35,5,32,Indicateur Ituri Nord-Kivu Sud-Kivu Total
35,5,33,Alertes remontées 436 681 22 1139
35,5,34,Alertes
35,5,35,159 681 22 862
35,5,36,investiguées
35,5,37,"Taux d'investigation 36,5% 100,0% 100,0% 75,7%"
35,5,38,Vivantes 119 55 10 184
35,5,39,Alertes validées
35,5,40,Décédées 30 24 0 54
35,5,41,Total des cas suspects du jour 149 79 10 238
35,5,43,"Au terme de la journée du 18 juin 2026, 1 139 alertes ont été remontées dans les trois provinces touchées,"
35,5,44,"862 (75,7%) de ces alertes ont été investiguées, 238 cas suspects (54 décès) ont été identifiés. Un faible"
35,5,45,taux d’alertes investiguées s’observe dans la province de l’Ituri.
35,5,48,5
35,6,1,Tableau 4. Suivi des contacts des cas confirmés au 18 juin 2026
35,6,3,Province Contacts sous suivi (n) Contacts vus (n) Taux de suivi (%)
35,6,5,"Ituri 5 155 3 961 76,8%"
35,6,6,"Nord-Kivu 1 821 1 047 57,5%"
35,6,7,"Sud-Kivu 118 118 100,0%"
35,6,8,"Total 7 094 5 126 72,3%"
35,6,10,• Poursuite des investigations approfondies et du listage exhaustif et suivi des contacts autour des cas
35,6,11,"confirmés dans les ZS (narratifs des cas confirmés, nombre de contacts listés et suivis par cas)."
35,6,12,• 338 nouveaux contacts ont été listés dans 5 ZS de la province de l’Ituri. Ces contacts sont répartis dans
35,6,13,"les ZS de Bunia (117), Rwampara (102), Mongbwalu (93), Lita (15) et Bambu (11)."
35,6,15,Point sur les activités de points de contrôle et points d’entrées (PoC/PoE)
35,6,17,• PoC Mudzibala/Bunia : 2 alertes ont été notifiées dont 1 alerte vivante en provenance de la ZS de Kilo a
35,6,18,"été investiguée, validée et orientée vers le CME de Bunia et 1 corps sans vie en provenance de CH"
35,6,19,"Muzimaria vers Central soleniama, a été libéré après plusieurs heures d’attente sans être swabé."
35,6,20,"• PoC Route Watsa/ARU : 1 corps sans vie intercepté, notifié après vérification des documents, il a été"
35,6,21,"libéré, pour le cimetière."
35,6,22,Tableau 5. Suivi des indicateurs au Points d’entrées et Points de contrôle (PoE/PoC) dans la province
35,6,23,"de l’Ituri, en date du 18 juin 2026"
35,6,25,Indicateurs Résultats
35,6,26,"Proportion de PoC activés 80,0% (44/55)"
35,6,27,Nombre des voyageurs passés 60 901
35,6,28,"% des voyageurs screenés 95,0%"
35,6,29,"% des voyageurs ayant lavé les mains 94,0%"
35,6,30,"% des voyageurs sensibilisés 97,0%"
35,6,31,Nombre d’alertes notifiées 3
35,6,32,Nombre d'alertes validées 3
35,6,33,% de résultats disponibles dans 24h 0%
35,6,34,Nombre d’alertes transférées au CT/CTE ou pour EDS 1
35,6,35,Nombre de contacts interceptés ce jour 0
35,6,37,4.3. Laboratoire
35,6,38,"• Ituri : 101 échantillons collectés et analysés (positivité 34,6% ; n=35)."
35,6,39,"• Nord-Kivu : 79 nouveaux échantillons collectés et analysés (positivité 1,3% ; n=1)."
35,6,40,• Sud-Kivu : 10 nouveaux échantillons collectés et sont en cours d’analyse.
35,6,42,4.4. Prévention et Contrôle de l'Infection (PCI)
35,6,43,"Ituri : Un briefing de 40 prestataires a été organisé dans les ZS Mambasa et Mongbwalu, Bunia et"
35,6,44,"Komanda sur les précautions standards (le lavage correct des mains, le port et le retrait des EPI,"
35,6,45,bionettoyage) ; décontamination des ZS de Komanda et Bunia ; dotation de 4 kits Wash dans la ZS
35,6,46,Bunia et Mongbwalu.
35,6,47,6
35,7,1,• Nord-Kivu : Evaluation du degré d’exposition des prestataires au CH CBCA dans la ZS de Katwa : 1
35,7,2,"à haut risque ; évaluation score card de 3 ESS de la ZS de Beni (CH CBCA 56,5 %, CHP Heshima"
35,7,3,"Letu 60%, Dispensaire Bora Uzima 22%). Gaps : Triage non fonctionnel, insuffisance des dispositifs"
35,7,4,"de lavage des mains, insuffisance des EPI, prestataires non-formés, mauvaise gestion des déchets"
35,7,5,et absence d’incinérateur ; briefing de 222 prestataires de santé sur les thématiques de la PCI dans
35,7,6,"les ZS de Beni, Butembo, Goma, Katwa, Karisimbi, Nyiragongo ; 46 ESS accompagnés en PCI dans"
35,7,7,le cadre du renforcement du mentorat après évaluation du scorecard PCI ; décontamination de 6 ESS
35,7,8,"dont 3 à Katwa, 1 à Butembo et 2 à Beni après le passage des cas confirmés."
35,7,9,• Sud-Kivu : Colisage et distribution des intrants PCI et PPE à la ZS Miti-Murhesa ; appui à l'EIR
35,7,10,(habillage et déshabillage) pour 10 réprélèvements ; décontamination de 21 ménages dont 8 AS
35,7,11,Kalangane (ZS Katana) et 13 AS Kabushwa (ZS Miti-Murhesa) ; installation de 4 Points de Contrôle
35,7,12,dont 3 dans l’AS Lwiro et 1 dans l’AS Kabushwa avec l’appui de PNHF/OIM ; fin de la distribution des
35,7,13,"kits PCI dans les écoles (EP KABINDI, EP MURHANGA et EP CIBATI/COMBO) ; appui à la"
35,7,14,décontamination de l’ambulance après transfert des malades ; Score card réalisé au Centre hospitalier
35,7,15,"Bugarula ZS Idjwi avec un score de 43,5%."
35,7,16,4.5 Prise en charge holistique
35,7,17,• Deux (2) patients atteints de la maladie à virus Ebola ont été déclarés guéris après avoir obtenu
35,7,18,des tests de contrôles négatifs.
35,7,19,• Poursuite de suivi nutritionnel des malades dans les CTE : 569 repas chauds ont été servis dont 145
35,7,20,auprès des cas confirmés.
35,7,22,Tableau 6. Mouvement des patients dans les établissements de soins (CTE/CT/CI) au 18 juin 2026
35,7,24,Indicateur Ituri Nord-Kivu Sud-Kivu Ensemble
35,7,25,Patients au lit (J-1) 335 48 15 398
35,7,26,Total admissions (24h) 53 8 9 70
35,7,27,Sorties (24h)
35,7,28,Décédés (Suspects/Conf.) 16 0 0 16
35,7,29,Non-cas 19 0 13 32
35,7,30,Guéris 2 0 0 2
35,7,31,Évadés (Suspects/Conf.) 2 0 0 2
35,7,32,Transférés à l'HGR 0 0 0 0
35,7,33,Total sorties 39 0 13 52
35,7,34,Patients en isolement (Fin J) 349 56 11 416
35,7,35,dont confirmés (NC+AC) 139 22 1 162
35,7,36,dont suspects 210 34 10 254
35,7,37,"Taux d'occupation global 103,3% 78,9% 34,4% 94,3%"
35,7,42,Activités de santé mentale et soutien psychosocial
35,7,43,Tableau 7. Indicateurs clés des activités de santé mentale et soutien psychosocial au 18 juin 2026
35,7,44,7
35,8,1,INDICATEURS CLES ITURI SUD-KIVU NORD-KIVU
35,8,2,"Nouveaux cas confirmés admis au CTE ayant bénéficié 3 (100%) 5 (45,5 %) 0"
35,8,3,d'interventions SMSPS
35,8,4,"Cas confirmés en cours de suivi ayant bénéficié d'interventions 49 (57,6%) 11 (36,7%) 0"
35,8,5,SMSPS
35,8,6,Nouveaux cas suspects ayant bénéficié d'interventions SMSPS 3 (50%) 4 (40%) 1 (100%)
35,8,7,"Cas suspects en cours de suivi ayant bénéficié d'interventions 53 (80,3%) 24 (36,9%) 0"
35,8,8,SMSPS
35,8,9,Résultats de laboratoire ayant été annoncés 10 0 3
35,8,11,Dont positifs 3 0 0
35,8,12,Nb Enfants séparés en crèche ayant bénéficié d'interventions 1 0 0
35,8,13,SMSPS
35,8,14,Nb Enfants séparés en communauté ayant bénéficié 0 6 0
35,8,15,d'interventions SMSPS
35,8,16,Nb Accompagnants au CTE ayant bénéficié d'interventions 71 52 0
35,8,17,SMSPS
35,8,18,Nb PPL ayant bénéficié d'interventions SMSPS 35 28 25
35,8,19,Nb Membres des ménages et communautés ayant bénéficié 37 12 0
35,8,20,d'interventions SMSPS
35,8,21,Nbre d'EDS appuyés 2 0 0
35,8,24,4.6 Continuité des soins
35,8,25,• RAS
35,8,26,4.7 Communication sur les risques et engagement communautaire
35,8,27,Nord-Kivu : 7 732 ménages visités sur 15 990 (48 %) / 14 949 personnes sensibilisées (9 010 F / 5 939 H) :
35,8,28,"Face à cette couverture insuffisante, un plan de rattrapage vise 75 % des ménages au 30 juin avec 10 équipes"
35,8,29,mobiles supplémentaires ; 342 leaders religieux et 58 APA impliqués sur 18 émissions radio plus 8 rediffusions
35,8,30,touchant 340 000 auditeurs : visite conjointe UNICEF/OMS/ZS Katwa plus 61 autorités locales mobilisées
35,8,31,"dans la ZS de Karisimbi ; 81 acteurs clés formés (35 RECO, 12 enseignants, 10 tradipraticiens, 8 pasteurs,"
35,8,32,"10 pharmaciens, 6 cadres) avec progression des connaissances de plus 32 % (objectif plus 50 %)."
35,8,34,Sud-Kivu : Plaidoyer auprès de 15 enseignants pour les solliciter à renforcer la sensibilisation dans les salles
35,8,35,"de classe et dans la communauté ; briefing de 64 leaders communautaires, relais communautaires et PRECO"
35,8,36,"sur les interventions CREC autour des cas et les techniques de communication ; 748 ménages visités, 5 483"
35,8,37,"personnes sensibilisées dans les ménages sur les mesures de prévention, l' importance de la décontamination"
35,8,38,des ménages et de l' EDS ; 2 émissions radios sur la prévention dans la zone de santé de Miti-Murhesa ; 64
35,8,39,leaders engagés dans la prévention.
35,8,41,Ituri : Dialogue communautaire avec 46 de personnes touchées dont 8 hommes et 38 femmes sur respect
35,8,42,"des mesures préventives de la MVE, prise en charge, alerte communautaire et EDS dans les ZS de"
35,8,43,Mongbwalu et Nyankunde ; 1 318 personnes touchées dont 1 288 hommes et 30 femmes ; visites à domicile
35,8,44,de 685 ménages par des Recos avec des messages sur les mesures de prévention à la MVE et la remontée
35,8,45,"des alertes (décès et vivants) touchant 3 186 personnes (1 339 hommes et 1 847 femmes) dans les ZS d’Aru,"
35,8,46,"Bunia, Nyankunde, Rwampara ; des causeries éducatives organisées dans 246 ménages ont permis"
35,8,47,d’atteindre 2 400 personnes (1 049 hommes et 1 351 femmes) ; briefing de 120 Recos dans les ZS de Bambu
35,8,48,et Nia-Nia sur la surveillance à base communautaire ; formation de 23 prestataires sur la surveillance à base
35,8,49,8
35,9,1,communautaire dans la ZS de Bunia ; diffusion des spots et messages dans 18 différents médias sur les
35,9,2,mesures préventives de la MVE ; poursuite de l’animation des émissions des médias sur les mesures
35,9,3,préventives de la MVE.
35,9,4,Appui aux autres piliers : Surveillance : listages de 43 cas contacts autour d'un décès suspect de MVE (AS
35,9,5,"CECA 20, ZS Mongbwalu) ; appui aux investigations dans les AS Shari, Ngona, Tchunga, Hoho, P.F"
35,9,6,"Rwampara, Dele, Bogoro) dans la ZS de Rwampara. PCI : Décontamination de 4 ménages et 4 structures."
35,9,8,4.8. Logistique
35,9,9,"• Livraison des intrants PCI aux ZS de Boga, Nizi, Niania, Nyankunde et aux sites des déplacés de"
35,9,10,"Kigonze et ISP, des médicaments à la ZS de Bambu, des kits dignités et intrants PCI au CTE CME"
35,9,11,"Bunia, CTE HGR Nyankunde, CSR Shari, des petits matériels et intrants PCI au Labo Provincial/INRB."
35,9,12,4.9. Sécurité
35,9,13,• La situation sécuritaire reste calme mais imprévisible à Bunia et environs.
35,9,15,4.10. PSEA (Prévention contre l'Exploitation et les Abus Sexuels)
35,9,16,Ituri : Briefing de 208 acteurs dont 99 femmes sur la PSEA et le code de bonne conduite ; 42 dont 30 hommes
35,9,17,et 12 femmes volontaires de la Croix Rouge dans la ZS de Bunia ont été briefés sur le code de bonne conduite.
35,9,18,Les chefs des Quartiers et avenues des communes de Shari et Mbunya dans les Zones de Sante de Bunia et
35,9,19,"Rwampara ont procédé signature des codes. Au total 46 participants (22 femmes, 24 hommes) ; sensibilisation"
35,9,20,de 80 Recos dans la zone de santé de Beni dont 46 hommes et 34 femmes ; Co-animation avec la Croix
35,9,21,Rouge d’une émission radiodiffusée en Swahili à la RTNC antenne de Bunia sur le theme : « pourquoi la
35,9,22,PSEA dans la riposte à la Maladie à Virus Ebola » ; sensibilisation de 63 dont 13 femmes et 50 hommes sur
35,9,23,la PEAHS dans la zone de santé de Mongbwalu ; 13 prestataires de soins briefés dans les ZS de Komanda
35,9,24,et Fataki lors de la formation sur la SONU.
35,9,26,"5. PRINCIPAUX DÉFIS, IMPACTS ET ACTIONS REQUISES"
35,9,28,N° Défis Impact Actions requises
35,9,29,"1 Réticence aux prélèvements post Retard de confirmation, Intensifier la CREC, implication des leaders"
35,9,30,"mortem (EDS / swabs) et sous-estimation des religieux et communautaires, renforcement de"
35,9,31,"résistance communautaire cas, perturbation des la sécurité des équipes"
35,9,32,activités clés
35,9,33,"2 Capacité insuffisante en CTE et Retards d’admission, Accélérer la construction et l’expansion des"
35,9,34,"saturation en Ituri (103,3%) augmentation du risque CTE, déployer des structures temporaires"
35,9,35,de transmission supplémentaires
35,9,36,nosocomiale
35,9,37,"3 Faible performance du suivi des Chaînes de Former, déployer et motiver les relais"
35,9,38,"contacts (72,3% vs cible 95%) transmission non communautaires (RECO), supervision"
35,9,39,interrompues renforcée
35,9,40,"4 Surveillance insuffisante (36,5% Transmission non Renforcer la surveillance communautaire,"
35,9,41,"d’alertes investiguées en Ituri) détectée, expansion améliorer la remontée et l’investigation rapide"
35,9,42,silencieuse de des alertes
35,9,43,l’épidémie
35,9,44,5 Cas confirmés non localisés ou Lacunes majeures dans Conduire une réconciliation des données
35,9,45,"non classifiés (~17 cas) la reconstruction des élaguer, les possibles doublons, et reclassifier"
35,9,46,chaînes de transmission ou préciser la zone de santé et le statut
35,9,47,"(décès, guéris, actifs, etc…) Vérification"
35,9,48,active sur le terrain
35,9,49,6 Insuffisance d’approvisionnement Fragilisation de la prise Plaidoyer et approvisionnement urgent en
35,9,50,en MEG et intrants médicaux en charge globale médicaments essentiels
35,9,51,9
35,10,1,"7 Insuffisance des intrants PCI Risque élevé Approvisionnement urgent, renforcement des"
35,10,2,"(EPI, chlore) et formation limitée d’infections formations en PCI"
35,10,3,nosocomiales (75 cas
35,10,4,"HCW, létalité 22,6%)"
35,10,5,"8 Stock des échantillons non Retard de confirmation, Déployer plan de rattrapage laboratoire,"
35,10,6,"encore analysés (backlog) au létalité élevée (58,4%) renforcer capacités diagnostiques"
35,10,7,laboratoire au Nord-Kivu et
35,10,8,diagnostic tardif
35,10,9,9 Insuffisance d’ambulances et de Retards de transfert et Déploiement urgent de moyens logistiques et
35,10,10,"structures d’isolement (gap de 20 isolement, augmentation infrastructures supplémentaires"
35,10,11,centres) du risque de
35,10,12,transmission
35,10,13,10 Coordination insuffisante et faible Inefficience Renforcer les mécanismes de coordination à
35,10,14,"utilisation des cadres COUSP opérationnelle et tous les niveaux, opérationnaliser les COUSP"
35,10,15,décisions retardées
35,10,16,"11 Insuffisance des ressources Limitation de la mise en Mobilisation urgente des ressources, plaidoyer"
35,10,17,financières (gap 20 millions USD) œuvre de tous les piliers auprès des partenaires
35,10,18,de la riposte
35,10,19,12 Insécurité et accès limité Restriction des Renforcement de la coordination sécuritaire et
35,10,20,"(CODECO, ADF) opérations, accès limité accès humanitaire"
35,10,21,aux zones à haut risque
35,10,22,13 Faible remontée des alertes Retard dans la détection Renforcement de la surveillance
35,10,23,(notamment au Sud-Kivu) des cas communautaire et système d’alerte
35,10,24,14 Continuité des services Augmentation de la Mise en œuvre effective de la gratuité des
35,10,25,"essentiels (CEHS) compromise mortalité indirecte (non soins, renforcement CEHS"
35,10,26,Ebola)
